      0     1     2     3     4     5     6     7     8     9     10    11    12    13    14    15    16    17    18    19
0  0.000 0.004 0.699 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.004 0.125 0.000 0.167 0.000 0.000
1  0.000 0.002 0.377 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.005 0.173 0.000 0.444 0.000 0.000
2  0.000 0.031 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.862 0.000 0.106 0.000 0.000
3  0.000 0.111 0.052 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.003 0.540 0.000 0.294 0.000 0.000
4  0.000 0.252 0.061 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.478 0.000 0.199 0.000 0.000
5  0.000 0.286 0.149 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.181 0.000 0.382 0.000 0.000
6  0.000 0.318 0.124 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.372 0.000 0.184 0.000 0.000
7  0.000 0.101 0.234 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.016 0.355 0.000 0.295 0.000 0.000
8  0.000 0.086 0.549 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.298 0.000 0.066 0.000 0.000
9  0.000 0.193 0.219 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.518 0.000 0.070 0.000 0.000
10 0.000 0.179 0.192 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.616 0.000 0.011 0.000 0.000
11 0.000 0.154 0.671 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.090 0.000 0.083 0.000 0.000
12 0.000 0.048 0.586 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.003 0.271 0.000 0.093 0.000 0.000
13 0.000 0.104 0.248 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.006 0.121 0.000 0.521 0.000 0.000
14 0.000 0.170 0.122 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.488 0.000 0.219 0.000 0.000
15 0.000 0.049 0.724 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.006 0.009 0.000 0.212 0.000 0.000
16 0.000 0.019 0.366 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.008 0.253 0.000 0.353 0.000 0.000
17 0.000 0.123 0.046 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.004 0.826 0.000 0.000 0.000 0.000
18 0.000 0.226 0.188 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.397 0.000 0.188 0.000 0.000
19 0.000 0.290 0.327 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.210 0.000 0.170 0.000 0.000
